col_name,col_type,label,indicator_grouping,indicator_unit,indicator_dp,filter_hint,filter_grouping_column
phase_type_grouping,Filter,School type,,,,Filter by school type,
ethnicity_major,Filter,Ethnicity Major,,,,Filter by pupil ethnicity,
language,Filter,First language,,,,Filter by first language,
headcount,Indicator,Headcount,Pupil counts,,0,,
percent_of_pupils,Indicator,Percent,Pupil counts,,1,,
