"pcon_code","pcon_name","new_la_code","la_name","first_available_year_included","most_recent_year_included"
"E14000736","Havant","E10000014","Hampshire","2017","2023"
"E14000811","Meon Valley","E10000014","Hampshire","2017","2023"
"E14001004","Tunbridge Wells","E10000016","Kent","2017","2023"
"E14000609","Burnley","E10000017","Lancashire","2017","2023"
"E14000729","Harlow","E10000012","Essex","2017","2023"
"E14001045","Witham","E10000012","Essex","2017","2023"
"E14000868","Nuneaton","E10000031","Warwickshire","2017","2023"
"E14000854","North Warwickshire","E10000031","Warwickshire","2017","2023"
"E14000905","Rugby","E10000031","Warwickshire","2017","2023"
"E14000682","East Worthing and Shoreham","E10000032","West Sussex","2017","2023"
"E14001055","Worthing West","E10000032","West Sussex","2017","2023"
"E14000892","Redditch","E10000034","Worcestershire","2017","2023"
"E14000758","Hyndburn","E10000017","Lancashire","2017","2023"
"E14000603","Broadland","E10000020","Norfolk","2017","2023"
"E14000966","Staffordshire Moorlands","E10000028","Staffordshire","2017","2023"
"E14000902","Rossendale and Darwen","E10000017","Lancashire","2017","2023"
"E14000583","Bosworth","E10000018","Leicestershire","2017","2023"
"E14000625","Charnwood","E10000018","Leicestershire","2017","2023"
"E14000909","Rutland and Melton","E10000018","Leicestershire","2017","2023"
"E14000546","Bassetlaw","E10000024","Nottinghamshire","2017","2023"
"E14000829","Newark","E10000024","Nottinghamshire","2017","2023"
"E14000863","Norwich North","E10000020","Norfolk","2017","2023"
"E14000717","Great Yarmouth","E10000020","Norfolk","2017","2023"
"E14001046","Witney","E10000025","Oxfordshire","2017","2023"
"E14000975","Stone","E10000028","Staffordshire","2017","2023"
"E14000959","Spelthorne","E10000030","Surrey","2017","2023"
"E14000986","Tamworth","E10000028","Staffordshire","2017","2023"
"E14000761","Ipswich","E10000029","Suffolk","2017","2023"
"E14000624","Central Suffolk and North Ipswich","E10000029","Suffolk","2017","2023"
"E14000618","Cannock Chase","E10000028","Staffordshire","2017","2023"
"E14000681","East Surrey","E10000030","Surrey","2017","2023"
"E14001052","Worcester","E10000034","Worcestershire","2017","2023"
"E14000926","Shrewsbury and Atcham","E06000051","Shropshire","2017","2023"
"E14000992","The Wrekin","E06000051","Shropshire","2017","2023"
"E14000799","Ludlow","E06000051","Shropshire","2017","2023"
"E14000849","North Shropshire","E06000051","Shropshire","2017","2023"
"E14000728","Harborough","E10000018","Leicestershire","2017","2023"
"E14000939","South Holland and The Deepings","E10000019","Lincolnshire","2017","2023"
"E14000641","City of Durham","E06000047","County Durham","2017","2023"
"E14000677","Easington","E06000047","County Durham","2017","2023"
"E14000856","North West Durham","E06000047","County Durham","2017","2023"
"E14000840","North Durham","E06000047","County Durham","2017","2023"
"E14000915","Sedgefield","E06000047","County Durham","2017","2023"
"E14000569","Bishop Auckland","E06000047","County Durham","2017","2023"
"E14000554","Berwick-upon-Tweed","E06000057","Northumberland","2017","2023"
"E14001014","Wansbeck","E06000057","Northumberland","2017","2023"
"E14000746","Hexham","E06000057","Northumberland","2017","2023"
"E14000575","Blyth Valley","E06000057","Northumberland","2017","2023"
