country_code,country_name
E92000001,England
K02000001,United Kingdom
K03000001,Great Britain
K04000001,England and Wales
N92000002,Northern Ireland
S92000003,Scotland
W92000004,Wales
z,"England, Wales and Northern Ireland"
z,Outside of England and unknown
z,Outside of the United Kingdom and unknown
z,Outside of England
z,Outside of the United Kingdom
